Description,AvgUnitsShipped,StdUnitsShipped,MinUnitsShipped,MaxUnitsShipped,AvgNetAmount,StdNetAmount,MinNetAmount,MaxNetAmount,NumberOfTransactions,NumberOfTransactionDays,GLCategory
"PEAS & RICE,OG",1.014749,0.162508567706004,0.0,2.0,13.423185,2.1652896271638102,0.0,26.98,339,186,Packaged Grocery
OG2 S.O. CURRY POWDER,3.028548,1.55655318209903,0.0,8.0,9.692153,4.9735202098404,0.0,26.4,1226,278,Packaged Grocery
"YOGURT,OG,WM,FRENCH VA",1.316218,0.854496167896491,0.0,14.0,22.459578,14.2205235310918,0.0,221.06,5648,292,Refrigerated Grocery
Caramel Pecan Brownies 4ct,0.891566,0.381767760366242,0.0,2.0,27.750783000000002,12.0185003345707,0.0,61.88,166,127,Packaged Grocery
"TORT CHIP,RSTRNT,S#961292",1.327338,1.1250020704138302,0.0,12.0,30.806169,25.649648700335998,0.0,292.44,556,223,Packaged Grocery
"VINGRT,OG,NON DAIRY RANCH",0.629242,0.554261171398265,0.0,3.0,8.449843,7.368321004520349,0.0,35.34,383,183,Packaged Grocery
"BAR,ALMOND & APPCT W/YGRT",1.127659,0.991798575639996,0.0,10.0,13.609385000000001,11.0803260213671,0.0,110.7,423,195,Packaged Grocery
"BTL,SPARKLING,GRAPEFR",1.0681370000000001,0.40444375764608503,0.0,8.0,21.98571,7.58744515415558,0.0,142.4,2040,278,Packaged Grocery
"YOG,OG2,LF,MAPLE",1.091758,0.601298015802307,0.0,6.0,10.530901,5.722078039272049,0.0,60.36,1820,285,Refrigerated Grocery
"HASH BROWNS,OG",1.128252,0.5469022682794961,0.0,14.0,27.801479999999998,13.5308558116707,0.0,344.54,1614,264,Frozen
"HAND CREAM,CLEMENTINE",2.3727270000000003,1.78966638512016,0.0,12.0,9.459181,6.799692664531831,0.0,44.52,220,140,Body Care
"MAPLE SYRUP,OG2,GLS,GRD B",1.4081629999999998,1.52043208548969,0.0,15.0,64.768843,68.9410591073651,0.0,673.2,147,106,Packaged Grocery
"SALPICA SALSA,RD CHPT,HOT",1.17318,1.04468361176283,0.0,10.0,16.604508,14.0038054442004,0.0,141.4,1484,266,Packaged Grocery
TWIN B 12 DOTS 500MG,3.1538459999999997,2.15363332797762,0.0,12.0,14.312726999999999,9.98943591167924,0.0,55.8,143,105,Vitamins
"SPREAD,NATURAL W/HAZELNUT",1.0,0.0,1.0,1.0,22.016718,1.2841241282623,19.64,23.15,64,59,Packaged Grocery
OG2 ORGAIN NTRSHK CHCFDG,1.621621,2.2029191662094303,0.0,8.0,34.071351,47.4429483205391,0.0,184.4,37,20,Vitamins
LL FLAXSEED TEMPEH,0.89455,0.64139595296285,0.0,8.0,21.038743,14.9466509068941,0.0,155.04,1982,290,Refrigerated Grocery
TWIST DISH DUMPLING,1.0,0.0,1.0,1.0,26.626665999999997,0.0529150262232444,26.6,26.72,9,9,Packaged Grocery
OG2 PNF LS BEEF BROTH,0.9353790000000001,0.413006942166283,0.0,5.0,29.405315,13.408719848782198,0.0,161.95,619,217,Packaged Grocery
ESPECIALLY YOURS WOMEN'S MULTIPLE TAB 60,1.218041,0.9685004217297379,0.0,25.0,17.322314000000002,13.099973373125,0.0,361.25,1940,277,Packaged Grocery
4KIDS SNIFFLES 'N SNEEZES,1.054263,1.2581613414981,0.0,6.0,4.656899,5.47240760521158,0.0,23.1,129,106,Vitamins
"PINEAPPLE,OG,CHK S#771733",1.170056,1.12164225082047,0.0,35.0,16.543093,14.5362224943873,0.0,435.0,2311,283,Packaged Grocery
EB JR VEG BEEFPILAF (O)12-6 OZ,0.9841260000000001,0.125988157669742,0.0,1.0,15.725873000000002,2.0251002642805602,0.0,16.46,63,53,Packaged Grocery
OG2 ALDENS MINT CHIP,1.550301,1.0242554427140502,0.0,13.0,24.0335,15.5222910189846,0.0,203.19,5308,292,Frozen
"HAIR COLOR,3N,DK CHESTNUT",1.838602,1.10856094852496,1.0,8.0,14.744807999999999,9.030226021810948,6.63,73.12,601,233,Body Care
"ALMOND BUTTER,0G2",1.27835,0.6730259411982371,0.0,3.0,7.9184529999999995,8.24310258895862,0.0,38.13,97,60,Packaged Grocery
"COUGH DROP,GLCR MINT,XTRA",0.965174,0.28944964074492,0.0,2.0,20.62189,6.429661686897661,0.0,43.86,201,140,Vitamins
"CREAMER,OG,SOY,ND,FR VAN",1.019455,0.21068973727573498,0.0,3.0,22.062305,4.577604834465769,0.0,66.03,2056,283,Refrigerated Grocery
"FF YGRT,OG,FR VAN,SUGAR",0.659772,0.588946800042081,0.0,4.0,6.182564,5.41942517175455,0.0,34.0,967,245,Refrigerated Grocery
NTINT 7N HAZELNUT BLONDE,1.68595,1.03493386122786,0.0,6.0,13.715743,8.892273469296939,0.0,54.84,242,157,Body Care
CF FRUIT PEACHES SLICED,1.369899,1.02632394730574,0.0,25.0,43.164264,29.4786366609132,0.0,576.75,2598,278,Frozen
"HEMPMILK,TEMPT,CHOCOLATE",1.067307,0.308437293764893,0.0,3.0,30.045415999999996,8.99922032096754,0.0,93.39,312,167,Packaged Grocery
"CHOC BAR,OG2,DRK LMN GNGR",1.1703940000000002,0.69473879846174,0.0,6.0,27.108562,15.6752383181778,0.0,129.18,939,229,Packaged Grocery
VERMINTS GINGERMINT,0.8982379999999999,0.40754745873718107,0.0,2.0,9.329178,4.35507449223666,0.0,22.66,511,217,Packaged Grocery
"SHAMPOO,TEA TREE CALMING",2.689738,2.2281625193243597,0.0,24.0,10.290289999999999,8.063610911531299,0.0,89.28,2066,279,Body Care
"NONI JUICE,100% CERT OG",1.715277,1.58075486280635,0.0,6.0,26.202707999999998,24.0779344251136,0.0,91.08,144,117,Vitamins
ALLERGY RELIEF,2.385714,1.7386722999057702,0.0,12.0,20.198570999999998,14.7241592152582,0.0,96.36,70,58,Vitamins
"CRANBERRY SCE,OG2,WHO",0.610169,0.5440885566459149,0.0,2.0,34.365819,31.403695308236898,0.0,97.52,177,104,Packaged Grocery
TOMS CINN CLOVE WC THPST,1.270833,0.8063766545494929,0.0,7.0,25.581208,16.1815574226931,0.0,136.15,960,263,Body Care
OG2 LUND BRN RCE LS STKR,1.015523,0.27835032351347805,0.0,6.0,21.889844,5.98912807988077,0.0,118.14,773,256,Packaged Grocery
"YGRT,OG2,PLAIN,LACT FR",0.976534,0.32564284515200204,0.0,3.0,12.817328,4.32148056828845,0.0,34.53,1108,266,Refrigerated Grocery
"WHEY PROT,BOURBON VANILA",2.874371,4.14768868080266,0.0,48.0,45.572185,60.20110336064779,0.0,696.0,398,188,Vitamins
OG2 FD BAKED BEANS,1.118843,0.585790794550668,0.0,15.0,12.753123,6.6990588856856,0.0,171.15,3147,290,Packaged Grocery
BROWN COW CRMTP MAPLE,1.131156,1.03803321326096,0.0,12.0,8.812282000000002,7.94310676364773,0.0,91.32,3675,250,Refrigerated Grocery
SHIKAI CUC/MELN SHWR GEL,2.738532,2.91022480490056,0.0,20.0,12.89438,13.815423326289801,0.0,96.4,436,207,Body Care
"VINAIGRETTE,OG2,HEALT",0.579545,0.547132586294808,0.0,3.0,12.537979,11.863705449426401,0.0,67.47,2376,285,Packaged Grocery
OG3 YOGI WMNS DONG QUAI,0.9489790000000001,0.31614501637103604,0.0,3.0,15.146734,5.469187775540661,0.0,48.15,196,129,Packaged Tea
"SALPICA SALSA,MANGO PE",1.1220379999999999,0.893484320654143,0.0,10.0,15.888542000000001,12.330305744667301,0.0,133.1,1393,252,Packaged Grocery
"ELXR,OG2,PRT,DCHOC,CNTMLK",0.954802,0.496733210602113,0.0,4.0,32.265052000000004,17.239428105325903,0.0,148.96,1239,275,Refrigerated Grocery
ALBA SEA LET CLNSING MLK,0.658914,1.1214954025694899,0.0,4.0,3.3952709999999997,5.74937293829719,0.0,21.56,129,106,Body Care
"CTR DSP,SNTZR SPRY,OG2,LV",1.10887,0.392544300452424,0.0,4.0,15.768669000000001,5.88019356482989,0.0,57.8,248,147,Body Care
"YERBA MATE,OG2,BLUEPHORIA",1.176534,0.9277211121824251,0.0,24.0,22.629429000000002,17.5152608040311,0.0,465.84,1841,287,Packaged Grocery
"ICE CREAM,CHOC CHP CK DGH",1.125786,0.38869275544954407,1.0,4.0,28.542594,11.356875153791302,0.0,89.08,636,248,Frozen
"HERB TEA,LEMON ECH THROAT",1.047655,0.28154156645016404,0.0,4.0,18.99475,4.76886445472582,0.0,70.64,1301,263,Packaged Tea
"WHEY PROT,OG,BOURBON VANL",1.05,0.5016920522135441,0.0,4.0,23.103666,12.6511478633319,0.0,97.04,60,52,Vitamins
KNUD BLACK CHERRY CONCEN,3.9765339999999996,2.3387199733294,3.0,24.0,10.556389,6.14569617851353,7.83,63.84,554,233,Packaged Grocery
"DELI SLICES,SMOKED TOM",1.015772,0.12479268436810101,1.0,2.0,25.415267999999998,3.56059183949723,0.0,52.5,317,180,Refrigerated Grocery
THATS IT APL/BLU FRT BR,1.125412,0.44991945443470294,1.0,6.0,12.582722,4.97580499860823,0.0,61.62,606,224,Packaged Grocery
KID'S COLD&MUCUS RELI,1.02,1.4732454857580701,0.0,8.0,4.9078,7.110227481183059,0.0,40.0,200,139,Vitamins
"FLOUR,GF,MEASURE4MEASURE",0.8421049999999999,0.40175055540960997,0.0,2.0,16.911447,8.063072152961299,0.0,39.92,76,65,Packaged Grocery
"DRESSING,OG OIL & VINEGAR",1.117142,0.5250109641566071,1.0,6.0,17.860257,8.300066640540509,13.96,97.2,350,173,Packaged Grocery
"FIRST CARROTS,OG S#105494",0.896907,0.32141320337715695,0.0,2.0,7.732835000000001,2.84173771977426,0.0,17.34,194,138,Packaged Grocery
"JUICE,OG,MANGO",1.783031,1.78283091146184,0.0,11.0,36.209916,12.4393637596589,0.0,87.9,719,245,Packaged Grocery
OG3 YOGI KAVA STRES RELF,1.084147,0.40229995473134206,0.0,6.0,17.13349,6.2438197082235805,0.0,96.3,1842,276,Packaged Tea
"BUTTER,OG2,EUROPEAN U",1.045454,0.317351952289754,0.0,6.0,39.464764,11.854278509635101,0.0,225.72,1188,268,Refrigerated Grocery
"SHAMP,COLOR REFLECT,WARM",2.0879119999999998,1.7019561732819297,0.0,12.0,9.547289,7.7816203595157,0.0,57.84,273,160,Body Care
"CONDITIONER,RAINWTR HE",0.107011,0.8071364081482629,0.0,12.0,0.440738,3.3315067508719904,0.0,49.8,271,91,Body Care
"PASTA SAUCE,NO SALT",1.288187,1.1066672992534499,1.0,12.0,25.114042,19.369185344970802,16.81,214.92,982,264,Frozen
MARTIN APPLE JUICE,1.014851,0.121108313282681,1.0,2.0,25.422871,3.07895138175026,24.01,51.68,404,212,Packaged Grocery
"LUNA BAR,OG3,CHOC CPCKE",1.162576,0.647797298739997,0.0,10.0,16.741932000000002,9.39204908952507,0.0,144.5,326,180,Packaged Grocery
"TEA,DETOX",1.173913,1.44561666953545,0.0,20.0,16.465597,19.221068036694803,0.0,262.8,184,126,Packaged Tea
"CHCKPEA PUFF,OG2,PEPPER",0.5,0.707106781186548,0.0,1.0,10.17,14.382551929334399,0.0,20.34,2,2,Packaged Grocery
NUTR RHINO GUMMY MLT VIT,2.371727,1.5486414018370802,0.0,12.0,10.459667999999999,6.369057745709231,0.0,46.8,573,225,Vitamins
"POTATO CHIPS,SLT&CRKD PPR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,Packaged Grocery
"ESSENTIAL OIL,YLANG,III",2.115662,1.4197029818753202,0.0,20.0,14.088903,9.08121660001656,0.0,117.2,830,254,Body Care
OLBAS PASTILLES(LOZENGES),1.581769,1.3744559355398798,0.0,8.0,33.674879,20.351183006985,0.0,177.96,373,190,Vitamins
"TOWELETTES,CLARIFYNG ACNE",2.058823,1.5,0.0,15.0,9.482145,6.44941046775471,0.0,51.75,289,169,Body Care
"TEA,OG,PEPPERMINT",1.156,0.612506433684614,0.0,6.0,18.256032,9.5496738955938,0.0,97.68,1250,266,Packaged Tea
BL DMND PECAN NUT THINS,1.256672,1.49580096666881,0.0,66.0,29.954525,32.1308339610866,0.0,1340.46,3222,290,Packaged Grocery
DRP PANCAKES BROCCOLI,1.024734,0.19594158128238898,0.0,3.0,16.494628,3.2430051491346004,0.0,42.81,283,179,Frozen
"GUT SHOT,OG2,CLASSIC",0.911854,0.442917438035765,0.0,4.0,19.613191,9.37044728605575,0.0,77.4,658,234,Refrigerated Grocery
"COLD & COUGH,KIDS,VALUE",2.4,1.05559732582349,1.0,4.0,20.861333,8.856003505828019,8.0,37.08,15,15,Vitamins
"ULTRA LIQ ECOS,FREE&C",1.502191,1.9204576062769398,0.0,50.0,46.755814,55.9901345844359,0.0,1401.0,2738,281,Packaged Grocery
OG2 AMYS LS MED CHILI,1.0273219999999998,0.163244299288194,1.0,2.0,29.224153,4.62715276442133,17.56,63.48,366,191,Packaged Grocery
"Cucumbers, Persian, 20 lb , Organic",1.0161870000000002,0.336527890084875,0.0,6.0,22.806528,7.16261140668229,0.0,123.48,556,244,Packaged Grocery
QUORN BEEF STYLE GROUNDS,1.015957,0.12542207942938,1.0,2.0,33.685425,5.30893091127897,28.57,73.62,564,222,Frozen
VERMINTS MINTS GINGERMINT,0.8982379999999999,0.40754745873718107,0.0,2.0,9.329178,4.35507449223666,0.0,22.66,511,217,Packaged Grocery
OG2 NP ECO PAC MESA SUN ,1.534851,2.4330899027476804,0.0,75.0,48.0279,66.61971232306189,0.0,1857.75,3558,286,Packaged Grocery
VANS WAFF BLUEBERRY WF,0.657618,0.519550937826306,0.0,3.0,14.307653,11.356696909970601,0.0,55.5,2284,277,Frozen
"Mushrooms, White, Large, 5 lb , Organic",2.052083,1.3190493942032,0.0,12.0,12.576545,8.03426416909653,0.0,72.6,576,224,Vitamins
NATRA TMPN SPR PLUS,4.0913010000000005,3.4304397797631205,0.0,24.0,14.799863,12.3205185374516,0.0,88.8,1391,278,Body Care
"CEREAL,OG2,CRUNCHY VA",1.180285,0.8311628040191129,0.0,8.0,36.348339,10.7473498681429,0.0,152.04,771,240,Packaged Grocery
LL TOFU PUPS,0.9787790000000001,0.348894055110348,0.0,3.0,27.357798,9.88509767795621,0.0,76.11,754,248,Refrigerated Grocery
"TEA,OG2,CLASIC MINT",1.039426,0.510910839353408,0.0,5.0,13.776057000000002,8.878758392175538,0.0,59.85,279,134,Packaged Grocery
"FOAM BATH,PATCHOULI&ORNG",1.111111,0.529498301558095,0.0,8.0,10.600077,4.9574286377756795,0.0,76.0,387,192,Body Care
"CHICKEN STRIPS,OG",1.073008,0.7553291039623621,0.0,20.0,64.461991,41.3878744208534,0.0,1088.2,904,261,Meat
"ALMOND GLOW LTN,ROSE",1.204301,1.45631413674734,0.0,6.0,5.738601999999999,7.014951670383871,0.0,29.7,93,78,Body Care
"UP4 PROBIOTIC,WOMEN,10B",1.9325150000000002,1.13381707734836,0.0,8.0,30.498711,18.0439000378754,0.0,138.88,163,126,Vitamins
"Lemons, Choice, 38 lb 200 ct, Organic",1.144325,0.520183285269547,0.0,8.0,17.753057000000002,7.70459731020754,0.0,110.96,2626,280,Refrigerated Grocery
"NUTRITIONAL BAR,BAN CO",0.845549,1.02764849408974,0.0,10.0,12.691164,15.2365762100441,0.0,156.3,764,227,Packaged Grocery
"OLIVE OIL, BLACK TRFL",0.06451599999999999,0.24973103811470698,0.0,1.0,2.317096,12.9010488445832,0.0,71.83,31,31,Packaged Grocery
"BAR,CHOCOLATE COCONUT",0.8888879999999999,0.471404520791032,0.0,2.0,11.900555,6.584013144349529,0.0,28.34,18,18,Packaged Grocery
NICK GRSFD BEEF SPCY STK,1.320833,1.62652674764632,0.0,20.0,61.985583,77.2184694157115,0.0,953.2,240,151,Packaged Grocery
TWIST DISHWAND REPL HEAD,0.833333,0.383482494423685,0.0,1.0,8.400555,3.86664388938525,0.0,10.23,18,16,Packaged Grocery
"LETTING GO,ANXIETY",1.6986299999999999,1.37118087293448,0.0,6.0,15.52863,11.988004225876601,0.0,57.12,73,64,Vitamins
"CNDSND SOUP,OG,CRM CHICKN",1.036363,0.284956756447383,0.0,6.0,23.6972,6.56920805396742,0.0,141.06,825,251,Packaged Grocery
OG2 SAMBAZON ACAI FRZ PK,1.018252,0.22197916695611802,0.0,4.0,61.129178,15.493297960745,0.0,254.44,767,256,Frozen
"DSP,OLBAS INHALERS",1.250608,1.02788837290384,0.0,6.0,28.428369,13.330884735225501,0.0,92.43,411,199,Vitamins
ESC SHAMP CITRESS,2.572093,2.2220565515776203,0.0,12.0,10.018697,8.5304110284742,0.0,51.72,215,144,Body Care
"YOGURT,GOAT,BLUEBERRY",0.92169,0.38356589734781504,0.0,3.0,15.278711,6.37710705993559,0.0,52.95,1443,287,Refrigerated Grocery
"MAC&CHREESE,OG,WHL WH,DF",0.641025,0.482804549585268,0.0,1.0,11.990383999999999,9.33143471691915,0.0,21.04,78,66,Packaged Grocery
"SCE,BUTTER MASALA",0.9952209999999999,0.707090612370699,0.0,8.0,17.346881,11.7135601071715,0.0,134.48,837,237,Packaged Grocery
"RAVIOLI,OG,VG,BTRNT SQUAS",1.0992030000000002,0.97972641726155,0.0,25.0,17.852334,14.584515431177302,0.0,356.5,2510,287,Frozen
THAYER ROSE WITCH HAZEL,2.8580810000000003,2.3996584264952796,0.0,24.0,14.273495,11.5725171111071,0.0,128.64,3044,282,Body Care
LAVENDER SHEA HAND CREAM,2.45707,1.79610704342574,0.0,12.0,9.939292,6.9009973599528704,0.0,44.52,396,193,Body Care
"ALMOND BREEZE,CHC UNSW",1.0868389999999999,0.46622150841207505,0.0,6.0,21.837743,6.08451818736501,0.0,85.2,1117,266,Packaged Grocery
"CHEDDR BUNNIES,OG3,X-",1.175324,0.656683809284798,0.0,10.0,35.175714,19.769206872762002,0.0,301.3,462,187,Packaged Grocery
"MUFFIN MIX,OG,APPLE CINN",0.542168,0.501247342168663,0.0,1.0,20.169759,18.7833508904278,0.0,39.78,83,73,Packaged Grocery
"SPICE,OG2,PEPPER & MORE",1.028571,0.293476343832401,0.0,3.0,19.904285,5.90558040476837,0.0,59.34,70,65,Packaged Grocery
OG1 O.V. ULTRA HALF&HALF,1.216433,0.527293445689808,0.0,8.0,41.052729,17.890281025505303,0.0,274.88,3359,293,Refrigerated Grocery
"WHIPPED CREAM, ORGANIC",0.9958110000000001,0.30532766463302197,0.0,4.0,39.186366,11.9521628610833,0.0,157.68,1910,284,Refrigerated Grocery
OG1 OV LCTS FREE H&H MLK,1.023725,0.262521771029098,0.0,8.0,41.646862,11.3724745812337,0.0,351.12,1138,268,Refrigerated Grocery
"PASTA SCE,OG,TOMATO BASIL",1.174225,0.770113330170115,0.0,20.0,33.724084999999995,20.919779243709897,0.0,405.2,2646,279,Packaged Grocery
PRESRV SOFT TOOTHBRUSH,1.1689559999999999,1.10159219931017,0.0,27.0,12.534244000000001,10.1268713171769,0.0,238.95,728,230,Body Care
OG2 GRN/BLK DK CHOC BAR,1.2451379999999999,0.677174793021033,0.0,10.0,27.615762,14.4876956907565,0.0,248.6,1954,278,Packaged Grocery
"CEREAL,OG,OPTIMUM POWER",1.398533,1.19263254454257,0.0,9.0,37.642590999999996,20.8092956792245,0.0,342.0,818,242,Packaged Grocery
"CANDIES,SLTD PNUT,DRK CHO",1.042713,0.310495944179588,0.0,3.0,23.383341,6.8990998674593795,0.0,70.35,398,193,Packaged Grocery
OG2 JYOTI BLACK BEANS,0.0,,0.0,0.0,0.0,,0.0,0.0,1,1,Packaged Grocery
"JUICE,OG2,FRUIT PUNCH",0.09929,0.299406154877117,0.0,1.0,2.88539,8.70074286072901,0.0,29.06,423,117,Packaged Grocery
DER E VIT E BODY LOTION,1.9069759999999998,1.79700747922725,0.0,6.0,11.684883000000001,11.2108757510377,0.0,37.44,43,39,Body Care
BROWN COW NF PLAIN,0.460815,0.671195750973646,0.0,4.0,7.133134,10.350872698176099,0.0,61.36,319,68,Refrigerated Grocery
"MLK,OG2,NF SKIM,NON-H",0.9369200000000001,0.34986797183074897,0.0,3.0,22.551113,8.39210696746287,0.0,71.58,539,234,Refrigerated Grocery
NAT SEA TONGOL TUNA SLTD,1.1889379999999998,1.07078201374105,0.0,25.0,20.175652,18.0424470223345,0.0,384.0,3128,281,Packaged Grocery
"SOUP,OG2,ITLN VEG & BEAN",0.9739129999999999,0.207781496449929,0.0,2.0,19.068173,4.479682511974019,0.0,39.18,115,91,Packaged Grocery
"SAUSAGE,SWEET ITALIAN",1.173102,1.04886797836936,0.0,40.0,16.197439000000003,14.7381025120814,0.0,582.4,6112,293,Refrigerated Grocery
"NAT FRUIT STRIPS,P/P,CHRY",0.45962700000000006,0.536117860407996,0.0,2.0,10.506894,12.3233349400652,0.0,46.04,161,121,Packaged Grocery
FIRMING DMAE EYE LIFT,1.2926819999999999,0.980915450969766,0.0,4.0,14.795121,11.8776565706269,0.0,50.76,41,35,Body Care
"STG 2,OG3,APL BTRNT S",0.8392850000000001,0.3705909636481471,0.0,1.0,10.318214,4.56088990803842,0.0,12.95,56,50,Packaged Grocery
"HERBALOZENGE,GRN TEA,DSP",0.984615,0.330355286600071,0.0,2.0,16.390923,5.4490660676500795,0.0,32.88,65,58,Vitamins
MOM HNY & NUT TOASTY O`S,1.246273,1.4556763253213,0.0,28.0,31.172271000000002,37.276252220945004,0.0,715.96,1409,257,Packaged Grocery
"TORT CHIP,LIME & SEA",1.610601,2.59340799838352,0.0,70.0,37.269918,62.089382207028706,0.0,1705.9,981,247,Packaged Grocery
"MIX,WHITE BEAN CHILI",0.083333,0.288675134594813,0.0,1.0,1.46,5.05758835810112,0.0,17.52,12,12,Packaged Grocery
"LUNA PROT BAR,COOKIE",1.196911,0.968909122560135,0.0,25.0,13.798554999999999,11.201379400031,0.0,288.75,1295,264,Packaged Grocery
"SPRING ROLL,MINI,VEGE",1.123393,0.5333317490339811,0.0,10.0,28.140295000000002,12.748015263566899,0.0,216.7,1556,267,Frozen
"CREAM,OG1,NON-HOMOGEN",1.00915,0.308975565615057,0.0,3.0,35.627856,11.100967700152099,0.0,104.79,765,269,Refrigerated Grocery
"BAKING BAR,CLASC WHT C",0.0,,0.0,0.0,0.0,,0.0,0.0,1,1,Packaged Grocery
"RELISH,OG2,SWEET",1.157818,0.861075397558503,0.0,9.0,43.94733,17.048399022967402,0.0,221.4,1375,266,Packaged Grocery
"CONDITIONER,BALAN,EUC,PPR",2.485401,2.16570133962467,1.0,20.0,13.742664000000001,11.3686797045147,4.8,107.6,274,150,Body Care
OG3 KEVITA MNGO CNUT,1.126339,0.5302358386603251,0.0,8.0,24.858681,11.7318139080346,0.0,184.88,2707,281,Refrigerated Grocery
LARA CASHEW COOKIE BAR,1.566753,1.36139751652671,0.0,17.0,23.142692,19.114960569571302,0.0,187.56,3086,277,Packaged Grocery
"FAB SFTNER SHT,FR & CLR",0.995604,0.257021266159377,0.0,4.0,45.117714,12.0344908165382,0.0,179.76,455,215,Packaged Grocery
OLIVE,1.39,0.737111479583199,1.0,5.0,12.6479,6.23409496157213,6.9,38.95,100,86,Vitamins
BIOBAG 13 GAL WASTE BAG,1.012383,0.360944518354382,0.0,6.0,40.564147999999996,14.6126967297956,0.0,244.2,323,189,Packaged Grocery
"Oranges, Navel, Fancy, Florida, 38 lb 80 ct, Organ",1.237035,0.775598046119321,0.0,10.0,20.497486,12.729879400893399,0.0,163.7,4898,291,Refrigerated Grocery
VH CHOC CHSTNT HNYALM BR,0.090909,0.30151134457776396,0.0,1.0,3.9990900000000003,13.2634840479758,0.0,43.99,11,4,Packaged Grocery
"JR,OG,TNDR CHCKEN & S",0.924528,0.299145233323124,0.0,2.0,14.42283,5.1676074881749905,0.0,31.74,106,86,Packaged Grocery
PKSM THAI BSL DRKG VNGR,0.517241,0.5085476277156079,0.0,1.0,13.316551,13.0975903661328,0.0,27.14,29,24,Packaged Grocery
"TEA,AFRICAN RED BUSH",1.054545,0.26531489465873,1.0,3.0,15.989363,4.28394019893181,0.0,39.18,110,88,Packaged Tea
"SHELLS & WISC CHED,OG",1.8340759999999998,1.9034442143734398,0.0,30.0,43.603952,45.7715511445929,0.0,742.2,2019,253,Packaged Grocery
"FF YGRT,OG,FR VAN,SUGA",0.659772,0.588946800042081,0.0,4.0,6.182564,5.41942517175455,0.0,34.0,967,245,Refrigerated Grocery
"PANTY LINERS,THONG STY",2.368686,1.5179697610201102,1.0,16.0,4.164772,2.6822118586244197,1.59,28.0,396,212,Body Care
"APPETIZER,GOAT CHS FI",0.518518,0.509175077217316,0.0,1.0,16.284444,15.9933191180023,0.0,31.8,27,25,Frozen
GTS KOMBUCHA BOTAN#3 OG2,1.066997,0.655719370041834,0.0,8.0,27.161593,16.3924628995692,0.0,203.2,2015,282,Refrigerated Grocery
"FRUIT NECTAR,OG,BILBERRY",0.9849049999999999,0.35855149793632796,0.0,3.0,16.593584,6.128199008242049,0.0,50.88,265,148,Packaged Grocery
FL NAT HOME SQZ ORNG JCE,1.117491,0.6545607741982421,0.0,6.0,23.776107,13.919618728218902,0.0,127.98,4928,293,Refrigerated Grocery
"LASAGNA,OG3,VEG,DF,GF",0.8220850000000001,0.39097897482362104,0.0,2.0,32.407975,15.4522669149774,0.0,78.38,326,172,Frozen
"BABY WIPES,TRVL S1152313",1.060828,0.388004750925684,0.0,5.0,34.196937,12.4506983734722,0.0,159.85,1907,276,Packaged Grocery
HIBALL PEACH SPRKLNG WTR,1.193325,0.930220127864423,0.0,20.0,23.559832999999998,15.9217721884519,0.0,335.4,1738,284,Packaged Grocery
"GELATO,PEPPERMINT BAR",1.601694,3.08328781812137,0.0,25.0,37.756609999999995,59.2588209917639,0.0,471.0,118,77,Frozen
"COND,EXOTIC MARULA OIL",3.01269,2.2476510671143504,0.0,18.0,12.25005,10.6970363194808,0.0,86.22,788,208,Body Care
AC CHKRA BAL ENLIGHTNING,1.976,1.2980382220129199,1.0,6.0,14.815760000000001,9.24085688178739,6.25,48.78,125,98,Body Care
OG2 LAKE SH POMGRN BLEND,1.3113489999999999,0.959867512195119,0.0,9.0,37.080690000000004,22.0907548062535,0.0,209.76,652,229,Packaged Grocery
MSF BKD LNTL CRKR SSALT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,Packaged Grocery
"WATER,CUCUMBER",0.731707,0.49658417231274204,0.0,2.0,8.76878,5.95732902027523,0.0,24.16,164,108,Packaged Grocery
NA LQ GLUCOS & CHOND,1.8571419999999998,1.4171814849709699,0.0,6.0,20.250285,14.7720884432361,0.0,63.0,35,33,Vitamins
"COFFEE,LIONMANE CHGA MISJ",-1.571428,1.13389341902768,-4.0,-1.0,-9.53,6.385037196446071,-23.24,-5.81,7,7,Packaged Tea
"WHL GRN RCE,OG2,BLK BEANS",1.055555,0.438206318291545,0.0,6.0,12.214305,4.65078617651046,0.0,62.1,288,163,Packaged Grocery
"CEREAL,OG,MESA SUN W/RSNS",1.404021,1.00884305120146,0.0,10.0,49.777891,35.0318308140723,0.0,327.0,1641,264,Packaged Grocery
"TEA,OG,GREEN",1.152321,0.49189766856336997,0.0,6.0,19.183046,7.55562898607166,0.0,91.08,1615,278,Packaged Tea
OG2 S.O. SPINACH DIP MIX,1.230769,0.662993544131796,0.0,4.0,11.89141,5.539398608728829,0.0,35.08,78,54,Packaged Grocery
OG2 FD STRAW FRUIT SPRD,0.330287,0.737890452817104,0.0,25.0,9.353152,21.1434341708151,0.0,721.5,3064,276,Packaged Grocery
"JUICE,MORNING BLEND",3.288461,2.27754711118617,1.0,12.0,16.473076000000002,11.778444917093802,0.0,62.04,156,109,Body Care
"BROTH,OG,BEEF",1.0063,0.383154163677947,0.0,6.0,31.710153000000002,11.9912944576205,0.0,194.34,1111,254,Packaged Grocery
"Melons, Watermelon, Red, Seeded, 1 Bin 700-750 lb,",0.868131,0.49908340894508707,0.0,2.0,22.488681,12.8710418475646,0.0,51.32,91,73,Packaged Grocery
